site_num	nhd_reach_code	nhdplus_id	lon	lat	usgs_c	usgs_f	usgs_num_points	jud_b	jud_f	jud_a	jud_c
1018035	1010005000111	817165	-67.804	46.181	0.554	0.32	6	0.14	0.53	24.251	0.278
1193050	1080205000079	7701190	-72.553	41.542	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
1382210	-9999	-9999	-74.502	41.040	1.526	0.12	6	-9999.00	-9999.00	-9999.000	-9999.000
1388000	2030103000064	6250614	-74.280	40.992	2.185	0.13	19	0.13	0.48	20.466	0.326
1400500	2030105000020	9514014	-74.583	40.556	0.659	0.31	22	0.12	0.53	33.665	0.254
1408500	2040301008115	9453743	-74.223	39.986	0.765	0.37	19	0.17	0.44	11.588	0.397
1433500	2040104000179	4150156	-74.759	41.461	0.663	0.30	5	0.14	0.53	21.967	0.285
1454700	2040106000001	4188373	-75.236	40.669	1.043	0.24	15	0.07	0.49	61.422	0.238
1463500	2040105001083	2590277	-74.778	40.222	0.795	0.26	6	0.13	0.41	44.792	0.332
1473500	2040203000026	4782501	-75.347	40.111	1.838	0.14	4	0.05	0.52	74.357	0.235
1474500	2040203000001	4784837	-75.189	39.968	1.348	0.13	23	0.16	0.46	26.367	0.300
1480617	2040205000082	4650580	-75.801	39.962	1.002	0.19	25	0.15	0.47	13.763	0.398
1480870	2040205000049	4650548	-75.673	39.969	0.623	0.33	12	0.14	0.46	16.577	0.379
1481000	2040205001390	4655352	-75.593	39.870	0.297	0.44	24	0.13	0.53	26.668	0.300
1481500	2040205000021	4655440	-75.577	39.770	3.091	0.10	17	0.15	0.41	15.890	0.413
1484525	2040303067129	8407597	-75.291	38.595	0.942	0.08	13	0.20	0.51	9.432	0.422
1493112	2060002000713	4765418	-75.940	39.257	0.666	0.34	17	0.18	0.45	5.493	0.600
1540500	2050107000007	2604977	-76.619	40.958	0.130	0.47	8	-9999.00	-9999.00	-9999.000	-9999.000
1542500	2050201000014	4672391	-78.109	41.118	0.105	0.52	24	0.06	0.49	65.838	0.259
1544500	2050203000056	8134650	-77.826	41.476	0.153	0.55	22	0.13	0.46	19.786	0.358
1548303	2050205000554	8143294	-77.402	41.785	0.421	0.30	7	0.18	0.46	7.083	0.533
1549700	2050205000002	8145248	-77.324	41.274	0.245	0.39	46	0.08	0.49	50.611	0.292
1567000	2050304000006	4699925	-77.129	40.478	0.215	0.42	11	0.01	0.54	125.256	0.214
1570500	2050305000109	4710000	-76.886	40.255	0.099	0.43	55	-9999.00	-9999.00	-9999.000	-9999.000
1608500	2070001000107	8420360	-78.654	39.447	0.203	0.47	35	0.06	0.51	67.673	0.320
1611500	2070003001214	8431736	-78.310	39.582	0.281	0.42	30	0.10	0.48	43.744	0.388
1632900	2070006000114	8441303	-78.643	38.693	1.089	0.25	4	0.14	0.47	18.404	0.494
1645704	2070008000291	4509096	-77.332	38.885	0.760	0.23	14	0.17	0.45	6.816	0.519
1645762	2070008000544	4509040	-77.338	38.909	0.279	0.48	5	0.18	0.43	5.068	0.529
1646000	2070008000278	4509202	-77.246	38.976	1.102	0.22	16	0.14	0.44	14.651	0.452
1646305	2070008001427	4508904	-77.176	38.960	0.903	0.23	6	0.18	0.43	5.145	0.565
1646500	2070008001579	4512770	-77.128	38.950	0.333	0.29	34	-9999.00	-9999.00	-9999.000	-9999.000
1649190	2070010000067	22336379	-76.964	39.033	0.843	0.20	17	0.16	0.44	8.496	0.488
1649500	2070010000053	22337975	-76.926	38.960	0.164	0.54	22	0.18	0.44	10.378	0.463
1650800	2070010000360	22337723	-77.005	38.986	0.555	0.30	19	0.17	0.43	7.100	0.509
165389205	-9999	-9999	-77.286	38.866	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
1656903	2070010000797	22338645	-77.432	38.882	0.618	0.28	12	0.18	0.44	5.774	0.538
1673000	2080106000113	8506380	-77.332	37.768	0.659	0.41	7	0.17	0.47	23.223	0.373
2035000	2080205000093	8575903	-78.086	37.671	0.005	0.96	15	-9999.00	-9999.00	-9999.000	-9999.000
2101726	3030003000036	8869974	-79.423	35.735	0.937	0.21	19	0.15	0.45	15.741	0.452
2110400	3040206002321	9069012	-78.720	33.954	-9999.000	-9999.00	0	0.21	0.51	9.138	0.458
2110500	3040206001473	9068534	-78.715	33.913	0.366	0.46	15	-9999.00	-9999.00	-9999.000	-9999.000
2110701	3040206000384	9071598	-79.041	33.861	-9999.000	-9999.00	0	0.22	0.53	7.154	0.565
2110704	3040206002304	9071758	-79.044	33.833	-9999.000	-9999.00	0	0.17	0.47	24.698	0.333
2135000	3040204000063	9114416	-79.247	34.057	0.430	0.36	9	0.14	0.42	33.960	0.409
2148315	3050104001921	9721817	-80.620	33.828	-9999.000	-9999.00	0	0.15	0.45	40.215	0.308
2156500	3050106000120	9705136	-81.421	34.595	0.222	0.45	13	0.03	0.52	106.695	0.231
2160105	3050107000010	9698941	-81.548	34.535	0.828	0.32	14	0.09	0.49	45.120	0.323
2160700	3050108000006	9693670	-81.598	34.509	3.880	0.14	8	0.11	0.51	33.907	0.332
2162035	-9999	-9999	-81.073	34.048	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
2168504	3050109000004	9869590	-81.210	34.051	0.134	0.57	5	0.03	0.48	97.067	0.318
2169000	3050109000001	9869976	-81.088	34.014	0.199	0.40	16	0.03	0.54	98.470	0.256
2171645	-9999	-9999	-79.915	33.428	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
2198920	3060109000888	20107245	-81.154	32.166	-9999.000	-9999.00	0	0.20	0.51	10.202	0.596
2198950	3060109000110	20107191	-81.138	32.166	-9999.000	-9999.00	0	0.14	0.44	52.352	0.308
21989773	-9999	-9999	-81.081	32.081	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
21989792	3060109000794	20107205	-81.130	32.166	-9999.000	-9999.00	0	0.22	0.53	7.513	0.711
2203603	3070103002208	6333704	-84.415	33.684	-9999.000	-9999.00	0	0.19	0.50	5.904	0.452
2203655	3070103000412	6333720	-84.358	33.679	1.105	0.20	27	0.17	0.49	9.880	0.410
2203700	3070103001000	6334126	-84.330	33.689	1.180	0.20	10	0.18	0.49	7.535	0.422
2203863	3070103002203	6334112	-84.254	33.693	1.707	0.15	6	0.18	0.49	6.987	0.424
2203900	3070103000402	6333752	-84.225	33.666	0.734	0.30	3	0.14	0.48	17.365	0.378
2203950	3070103002190	6334110	-84.220	33.763	1.626	0.15	6	0.18	0.49	8.735	0.401
2203960	-9999	-9999	-84.199	33.697	1.597	0.12	6	-9999.00	-9999.00	-9999.000	-9999.000
2234000	3080101006343	10997905	-81.035	28.714	-9999.000	-9999.00	0	0.15	0.42	31.191	0.437
2234500	3080101000061	10997487	-81.324	28.838	-9999.000	-9999.00	0	0.16	0.46	32.320	0.380
2236000	3080101007512	10989245	-81.383	29.008	-9999.000	-9999.00	0	0.15	0.45	35.046	0.399
2236125	3080101007350	10989141	-81.522	29.167	-9999.000	-9999.00	0	0.15	0.45	36.176	0.399
2244040	3080103000057	16665219	-81.683	29.596	-9999.000	-9999.00	0	0.14	0.45	44.105	0.385
2245260	3080103000244	16663809	-81.487	29.730	-9999.000	-9999.00	0	0.21	0.51	9.764	0.547
2264000	-9999	-9999	-81.520	28.391	0.925	0.10	12	-9999.00	-9999.00	-9999.000	-9999.000
2264100	3090101005020	21477692	-81.521	28.325	22.020	0.01	20	0.18	0.45	11.297	0.651
2266200	3090101004415	21477644	-81.616	28.385	28.875	0.00	8	0.21	0.50	8.452	1.010
2266300	3090101000083	21478176	-81.580	28.333	2.995	0.07	17	0.20	0.52	12.278	0.686
2336120	3130001001464	2047971	-84.343	33.831	1.541	0.18	20	0.16	0.47	11.631	0.410
2336152	3130001001455	2048083	-84.248	33.808	1.340	0.09	7	0.18	0.47	7.203	0.456
2336240	3130001001451	2048013	-84.341	33.803	1.483	0.19	21	0.16	0.47	11.033	0.425
2336300	3130001001440	2047989	-84.408	33.819	0.850	0.32	25	0.15	0.47	16.269	0.373
2336313	3130001001446	2048017	-84.439	33.822	0.470	0.21	5	0.20	0.50	5.276	0.572
2336360	3130001001492	2047911	-84.379	33.869	0.475	0.40	5	0.16	0.47	10.663	0.415
2336410	3130001001490	2047963	-84.439	33.838	1.242	0.22	2	0.16	0.47	11.901	0.410
2336526	3130002001584	3285608	-84.474	33.794	1.852	0.17	2	0.17	0.48	8.843	0.453
2336728	3130002000255	3285770	-84.568	33.743	1.100	0.16	29	0.16	0.47	11.772	0.431
2337170	3130002003143	3286494	-84.674	33.657	0.011	0.96	15	0.05	0.56	81.669	0.184
23432415	3130004000139	2306737	-85.060	31.621	10.686	0.17	8	0.12	0.39	50.011	0.415
2344630	3130005000341	6415508	-84.582	33.358	0.899	0.20	16	0.15	0.48	15.599	0.408
2423130	3150202000373	21654166	-86.599	33.622	1.621	0.12	16	0.17	0.48	9.482	0.428
2423160	-9999	-9999	-86.549	33.604	0.525	0.36	23	-9999.00	-9999.00	-9999.000	-9999.000
2423397	3150202001675	21654312	-86.562	33.535	0.893	0.30	65	0.17	0.48	8.643	0.398
2423496	3150202000324	21655568	-86.784	33.369	0.957	0.35	26	0.13	0.48	24.390	0.343
2455980	3160111000115	18565735	-86.696	33.711	1.440	0.15	22	0.16	0.45	10.568	0.392
2457595	3160111000043	18566081	-86.868	33.597	0.383	0.44	35	0.15	0.46	13.104	0.374
2458450	3160111000021	18566201	-86.879	33.518	0.625	0.32	24	0.15	0.46	11.361	0.339
3007800	5010001000188	8972788	-78.293	41.819	0.544	0.36	9	0.12	0.48	25.242	0.322
3025500	5010003000041	10222194	-79.820	41.390	0.122	0.47	24	-9999.00	-9999.00	-9999.000	-9999.000
3027500	5010005000098	6874153	-78.596	41.553	0.702	0.24	15	0.13	0.41	15.065	0.376
3034000	5010006000157	4741709	-79.008	40.939	0.302	0.44	9	0.13	0.47	20.488	0.334
3036000	5010006000097	166808422	-79.291	40.928	0.442	0.30	20	0.11	0.47	29.237	0.312
3058000	5020002000143	3717136	-80.473	39.005	-9999.000	-9999.00	0	0.13	0.44	17.341	0.372
3061000	5020002000019	3715602	-80.276	39.422	0.278	0.48	41	0.09	0.48	44.574	0.306
3067510	5020004000110	3777215	-79.870	38.617	1.483	0.16	28	0.15	0.46	12.988	0.290
3072655	5020005000243	3788105	-79.923	39.825	2.081	0.12	16	-9999.00	-9999.00	-9999.000	-9999.000
3073000	5020005000126	3789647	-80.073	39.923	1.282	0.19	12	0.14	0.51	22.605	0.383
3075070	5020005000008	3785895	-79.901	40.262	1.818	0.16	29	-9999.00	-9999.00	-9999.000	-9999.000
3081000	5020006000063	3809023	-79.373	39.828	0.167	0.47	25	0.08	0.52	50.940	0.225
3082500	5020006000024	3806299	-79.593	40.018	0.168	0.46	78	0.07	0.49	60.821	0.239
3083500	5020006000007	3806147	-79.807	40.240	0.200	0.48	26	0.06	0.53	71.665	0.204
3098600	5030103000021	13153643	-80.663	41.105	0.111	0.62	17	0.09	0.55	51.169	0.285
3105500	5030104000107	19464300	-80.337	40.889	0.235	0.43	51	0.04	0.57	88.137	0.209
3106000	5030105000004	10926401	-80.242	40.817	0.384	0.38	14	0.11	0.48	30.869	0.365
3121850	5040001001263	19389922	-81.359	40.597	0.786	0.21	39	0.17	0.47	8.828	0.509
3183500	5050003001437	12107522	-80.641	37.724	0.406	0.33	38	0.07	0.50	60.107	0.265
3219500	5060001000332	5215353	-83.197	40.420	0.386	0.42	20	0.18	0.42	10.512	0.257
3228300	5060001000138	5213097	-82.851	40.236	1.539	0.12	25	0.20	0.43	5.742	0.257
3259757	-9999	-9999	-84.558	39.163	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
3259813	-9999	-9999	-84.548	39.150	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
3260015	5090203000706	3406057	-84.558	39.085	0.845	0.15	18	0.22	0.45	2.587	0.323
3260050	5090203000245	3406095	-84.616	39.059	0.971	0.12	14	0.24	0.51	3.175	0.313
3260100	5090203000252	3405451	-84.685	39.080	0.782	0.11	22	0.22	0.45	2.296	0.351
3262001	5090203000227	3405683	-84.804	39.030	0.753	0.24	17	0.20	0.42	3.711	0.273
3289000	5100205000264	1825502	-84.626	38.043	1.217	0.15	25	0.20	0.44	3.586	0.256
3289193	5100205000596	1825330	-84.554	38.067	0.758	0.22	26	0.21	0.43	2.849	0.286
3292470	5140101000020	10163598	-85.575	38.362	1.062	0.19	10	0.19	0.42	4.974	0.242
3292474	5140101000014	10163988	-85.606	38.276	0.581	0.29	22	0.27	0.54	2.071	0.452
3292475	5140101000014	10163988	-85.628	38.303	1.029	0.22	7	0.27	0.54	2.071	0.452
3292480	5140101000470	10163686	-85.626	38.313	1.360	0.10	7	0.21	0.43	2.478	0.289
3292550	5140101000472	10163886	-85.731	38.235	-9999.000	-9999.00	0	0.21	0.44	3.650	0.259
3293000	5140101000475	10163884	-85.665	38.237	0.429	0.37	29	0.20	0.44	3.669	0.264
3293500	5140101000475	10163884	-85.717	38.250	1.153	0.22	16	0.20	0.44	3.669	0.264
3293530	5140101000176	10163728	-85.694	38.276	0.721	0.38	15	0.21	0.45	2.621	0.304
3294570	5140101000489	10163798	-85.890	38.078	0.815	0.21	29	0.21	0.44	3.274	0.283
3297800	5140102000579	10265394	-85.641	37.991	1.218	0.18	32	0.21	0.44	2.958	0.275
3297900	5140102000239	10263816	-85.467	38.285	1.221	0.27	15	0.23	0.52	4.889	0.215
3298000	5140102000233	10264510	-85.460	38.188	0.381	0.37	30	0.19	0.43	6.094	0.230
3298135	5140102000301	10264014	-85.557	38.195	0.632	0.26	18	0.20	0.43	2.902	0.276
3298150	5140102000301	10264014	-85.542	38.160	1.351	0.21	24	0.20	0.43	2.902	0.276
3298200	5140102000512	10264174	-85.555	38.085	1.312	0.25	9	0.22	0.44	2.166	0.340
3298250	5140102000566	10264224	-85.616	38.079	0.275	0.42	3	0.21	0.43	3.074	0.280
3298300	5140102000260	10264216	-85.642	38.088	0.677	0.29	21	0.21	0.43	2.686	0.292
3301900	5140102000988	10264008	-85.615	38.176	0.745	0.14	18	0.22	0.44	2.341	0.305
3301940	5140102000961	10264038	-85.694	38.150	1.091	0.21	23	0.21	0.45	2.954	0.289
3302000	5140102000960	10264532	-85.796	38.120	1.551	0.23	33	0.23	0.49	4.569	0.218
3302030	5140102000278	10264270	-85.872	38.054	1.778	0.19	31	0.20	0.43	5.132	0.232
3302050	5140102000288	10264274	-85.857	38.048	0.695	0.24	22	0.22	0.44	2.318	0.304
3353200	5120201000176	18476775	-86.260	39.946	0.512	0.33	12	0.20	0.43	6.104	0.277
3374100	5120202000441	18471310	-87.550	38.490	0.015	0.84	12	0.15	0.44	29.704	0.162
3408500	5130104000236	12154450	-84.555	36.386	0.694	0.29	19	0.13	0.55	28.809	0.230
3409500	5130104000133	12154278	-84.630	36.388	0.596	0.27	25	0.12	0.46	26.407	0.331
3430200	-9999	-9999	-86.633	36.186	-9999.000	-9999.00	0	-9999.00	-9999.00	-9999.000	-9999.000
3432100	5130204000193	18394236	-86.699	35.833	-9999.000	-9999.00	0	0.20	0.44	4.615	0.213
3460795	6010106000118	22151081	-83.112	35.784	0.804	0.27	9	0.10	0.45	36.682	0.305
3538830	6010208000153	19710639	-84.961	36.062	1.470	0.17	15	0.14	0.46	16.196	0.337
3539600	6010208000192	19711775	-84.822	35.998	0.469	0.33	42	0.13	0.45	19.342	0.332
3539778	6010208000096	19710283	-84.718	36.103	1.542	0.15	27	0.13	0.45	21.280	0.336
4024000	4010201000021	1777616	-92.419	46.703	0.381	0.35	16	-9999.00	-9999.00	-9999.000	-9999.000
4027000	4010302000073	1814515	-90.696	46.487	0.555	0.34	11	0.03	0.55	37.663	0.242
4040000	4020102000004	11947215	-89.207	46.721	0.763	0.30	30	0.00	0.55	62.782	0.219
4059500	4030109000359	6860182	-87.202	45.755	0.487	0.29	7	0.17	0.41	9.930	0.273
4067500	4030108000023	6848607	-87.663	45.326	1.141	0.23	11	0.15	0.40	21.834	0.248
4085108	4030204000076	12005979	-88.092	44.372	2.117	0.14	17	0.19	0.40	5.263	0.357
40851385	4030204000430	12005077	-88.010	44.529	-9999.000	-9999.00	0	0.14	0.40	27.423	0.267
4085427	4030101000105	12173792	-87.715	44.107	1.161	0.20	6	0.17	0.41	11.091	0.312
